iter	RMSE
184	7.880685882
185	7.871704731
186	7.857256898
187	7.843392661
188	7.834644534
189	7.824126257
190	7.806749595
191	7.796424177
192	7.785740032
193	7.775693272
194	7.761863513
195	7.753274987
196	7.74284488
197	7.730755568
198	7.722699068
199	7.712240696
200	7.698052204
201	7.687899359
202	7.679038252
203	7.666825089
204	7.657153682
205	7.644957372
206	7.636483352
207	7.624761349
208	7.615473144
209	7.606889084
210	7.595912238
211	7.584743235
212	7.57410583
213	7.561664881
214	7.554335929
215	7.543310869
216	7.531277968
217	7.5219567
218	7.510892149
219	7.502679961
220	7.493799613
221	7.483462897
222	7.4707953
223	7.460900235
224	7.449276331
225	7.440892657
226	7.433089325
227	7.424426551
228	7.415610566
229	7.407084319
230	7.399237477
231	7.39188968
232	7.383630042
233	7.376521946
234	7.36869224
235	7.358033264
236	7.35049741
237	7.339339596
238	7.328590901
239	7.317497141
240	7.303962425
241	7.297568169
242	7.288800724
243	7.282992396
244	7.275956943
245	7.270470947
246	7.260386971
247	7.249853014
248	7.244231851
249	7.234221521
250	7.228206633
251	7.222108474
252	7.214201021
253	7.203018238
254	7.197511729
255	7.19045231
256	7.184272577
257	7.174621651
258	7.168730811
259	7.160752339
260	7.152438464
261	7.146508563
262	7.14082748
263	7.134489025
264	7.12834247
265	7.119371837
266	7.111119675
267	7.106612746
268	7.098084798
269	7.092257017
270	7.086564181
271	7.079548384
272	7.072826859
273	7.064555345
274	7.059384209
275	7.053932709
276	7.04525066
277	7.038498505
278	7.025121402
279	7.015721884
280	7.006882036
281	6.997592565
282	6.989060217
283	6.979622167
284	6.971541591
285	6.964231928
286	6.957903895
287	6.950146437
288	6.941330525
289	6.936680306
290	6.926334939
291	6.921610227
292	6.914188283
293	6.908897682
294	6.90327878
295	6.893469437
296	6.886267421
297	6.881303309
298	6.877171014
299	6.868885973
300	6.863431626
301	6.858751582
302	6.851140391
303	6.84462743
304	6.835979015
305	6.830532954
306	6.825393122
307	6.816304988
308	6.811578132
309	6.806337879
310	6.801774592
311	6.793843206
312	6.787606498
313	6.781172283
314	6.776758627
315	6.772809807
316	6.766395038
317	6.75966821
318	6.753482241
319	6.746472445
320	6.740007942
321	6.7352145
322	6.731008686
323	6.724772085
324	6.720655942
325	6.715425974
326	6.710008777
327	6.706177854
328	6.702226303
329	6.696764763
330	6.690273955
331	6.68558429
332	6.682487083
333	6.676432625
334	6.664044429
335	6.656185468
336	6.650655412
337	6.646332707
338	6.641994934
339	6.638527978
340	6.633903553
341	6.631043969
342	6.62421168
343	6.618910187
344	6.615662389
345	6.611826149
346	6.605820628
347	6.602059745
348	6.597249767
349	6.593484564
350	6.589754239
351	6.586317819
352	6.579908781
353	6.575814738
354	6.569928384
355	6.565683574
356	6.562071334
357	6.55727387
358	6.552649042
359	6.544940503
360	6.540719248
361	6.536379197
362	6.53158383
363	6.527030902
364	6.519685929
365	6.516617461
366	6.510847447
367	6.508159761
368	6.502043953
369	6.497012526
370	6.493556984
371	6.487687614
372	6.483625006
373	6.480649966
374	6.47725017
375	6.471619148
376	6.468416982
377	6.460321523
378	6.456308742
379	6.452246839
380	6.445445772
381	6.438494647
382	6.435226225
383	6.432000988
384	6.428825245
385	6.425623458
386	6.422661146
387	6.41445654
388	6.410124062
389	6.401404159
390	6.39457294
391	6.39187778
392	6.385175763
393	6.380432409
394	6.37286847
395	6.36745077
396	6.363687091
397	6.360626525
398	6.355676736
399	6.350452142
400	6.346755269
401	6.344389243
402	6.338717779
403	6.333870246
404	6.327173547
405	6.324437812
406	6.320748694
407	6.318347462
408	6.306826439
409	6.303987383
410	6.30153853
411	6.295597721
412	6.285896097
413	6.279993487
414	6.276312457
415	6.269614974
416	6.258479676
417	6.254875977
418	6.251397598
419	6.249017735
420	6.242898034
421	6.238813336
422	6.235414658
423	6.23308862
424	6.229584635
425	6.222374926
426	6.219443056
427	6.214376516
428	6.210752483
429	6.208112711
430	6.204614796
431	6.198856295
432	6.196292842
433	6.191298011
434	6.18385238
435	6.17818759
436	6.173548556
437	6.169320007
438	6.166461088
439	6.162447533
440	6.159483738
441	6.151287618
442	6.145344687
443	6.141758202
444	6.137805783
445	6.136368296
446	6.134514536
447	6.131820245
448	6.12456003
449	6.117469708
450	6.113792092
451	6.105909037
452	6.103234899
453	6.09988276
454	6.097558518
455	6.094428264
456	6.090635846
457	6.086653755
458	6.076533818
459	6.07449058
460	6.066964853
461	6.060899062
462	6.058890287
463	6.05501925
464	6.051811666
465	6.048751719
466	6.04638787
467	6.043684821
468	6.037141634
469	6.033604358
470	6.028808302
471	6.023737267
472	6.020511519
473	6.014392739
474	6.009453513
475	6.006476868
476	6.004317335
477	6.00123317
478	5.995708146
479	5.990563822
480	5.986074
481	5.980768021
482	5.978083995
483	5.974132409
484	5.968607507
485	5.96660567
486	5.962678933
487	5.958917712
488	5.955965156
489	5.951373871
490	5.949416475
491	5.944338858
492	5.93946623
493	5.93460676
494	5.932583622
495	5.927206486
496	5.925744284
497	5.92436767
498	5.92188303
499	5.920475622
500	5.917680846
501	5.911099568
502	5.90823895
503	5.906528859
504	5.900149239
505	5.89514091
506	5.889312867
507	5.882180615
508	5.875886325
509	5.871342615
510	5.868112585
511	5.863730704
512	5.86023436
513	5.855300535
514	5.85173831
515	5.848325136
516	5.843829947
517	5.839734249
518	5.83608664
519	5.831674721
520	5.826998842
521	5.82299911
522	5.819711051
523	5.816966084
524	5.815532145
525	5.809489128
526	5.807490535
527	5.80364604
528	5.800557799
529	5.795765293
530	5.793744335
531	5.790310034
532	5.785384482
533	5.782558808
534	5.777978478
535	5.774406602
536	5.771302238
537	5.767775246
538	5.761506419
539	5.758415907
540	5.756491105
541	5.755530228
542	5.749944491
543	5.747281507
544	5.744994323
545	5.738740544
546	5.735098533
547	5.732760769
548	5.729472038
549	5.727903109
550	5.723407517
551	5.719071872
552	5.715565468
553	5.709601774
554	5.706906369
555	5.702043536
556	5.698023937
557	5.696181978
558	5.69395548
559	5.69218136
560	5.686873874
561	5.681423819
562	5.678978134
563	5.673865058
564	5.671288255
565	5.666698745
566	5.662375047
567	5.658993807
568	5.651783249
569	5.648372641
570	5.644383121
571	5.636916374
572	5.634822286
573	5.632798192
574	5.627503652
575	5.626026993
576	5.622999598
577	5.617884101
578	5.616296278
579	5.612464004
580	5.608995245
581	5.603154005
582	5.59744318
583	5.594556977
584	5.59066034
585	5.581743752
586	5.579185544
587	5.577542148
588	5.5751706
589	5.572890935
590	5.569809124
591	5.565102653
592	5.562753922
593	5.560873767
594	5.55652096
595	5.555314695
596	5.552115689
597	5.549485255
598	5.543990356
599	5.540994666
600	5.536068987
601	5.532968982
602	5.527448575
603	5.525000421
604	5.523726197
605	5.522620236
606	5.521286873
607	5.515725385
608	5.512658496
609	5.510440409
610	5.502479781
611	5.496367234
612	5.493222544
613	5.490347578
614	5.48488545
615	5.481117159
616	5.478196377
617	5.473339237
618	5.469697442
619	5.464329019
620	5.460564348
621	5.458036236
622	5.456878196
623	5.454138785
624	5.451059906
625	5.446033745
626	5.44413544
627	5.442408199
628	5.440357336
629	5.437542519
630	5.435581905
631	5.430793614
632	5.425951795
633	5.420319484
634	5.418777018
635	5.41258091
636	5.407062244
637	5.405261605
638	5.403516732
639	5.398024234
640	5.396221552
641	5.38999682
642	5.388950647
643	5.385840477
644	5.382086562
645	5.380264662
646	5.378436671
647	5.37720164
648	5.373886209
649	5.37234763
650	5.369324876
651	5.365940308
652	5.362825984
653	5.358987666
654	5.357730866
655	5.356658804
656	5.354947312
657	5.349862554
658	5.346485004
659	5.3430949
660	5.342056765
661	5.340559057
662	5.338265956
663	5.332957625
664	5.328158348
665	5.326616133
666	5.325389877
667	5.323701633
668	5.321299091
669	5.31837845
670	5.316294191
671	5.31355137
672	5.307724732
673	5.303119263
674	5.301922466
675	5.298667653
676	5.294606899
677	5.293354272
678	5.292370476
679	5.290218086
680	5.288093828
681	5.287078399
682	5.283410131
683	5.280528872
684	5.279200448
685	5.274102343
686	5.27021733
687	5.268418595
688	5.265081886
689	5.262325619
690	5.260342107
691	5.258314707
692	5.25436112
693	5.24989885
694	5.247966716
695	5.242206451
696	5.239716283
697	5.238028112
698	5.235516284
699	5.233849486
700	5.232703621
701	5.227274829
702	5.224860605
703	5.221071407
704	5.218997481
705	5.215320783
706	5.210183112
707	5.206633441
708	5.201219814
709	5.199143453
710	5.197575165
711	5.194906935
712	5.18972741
713	5.184005399
714	5.179859887
715	5.178347066
716	5.174856501
717	5.171803761
718	5.168036488
719	5.166557915
720	5.165564993
721	5.161337513
722	5.160397371
723	5.157795356
724	5.15505108
725	5.153486001
726	5.151689768
727	5.150151308
728	5.147701771
729	5.143252917
730	5.140647384
731	5.137994337
732	5.135758552
733	5.130751555
734	5.128329352
735	5.126155397
736	5.118407505
737	5.115554359
738	5.114863922
739	5.111578493
740	5.109244531
741	5.105291655
742	5.101722571
743	5.099308175
744	5.095512458
745	5.092970475
746	5.085440747
747	5.083744708
748	5.079335804
749	5.077722167
750	5.074548487
751	5.070947598
752	5.066541752
753	5.062777112
754	5.060361735
755	5.058782144
756	5.055507757
757	5.053637173
758	5.051320561
759	5.046615394
760	5.044184484
761	5.041220882
762	5.037564158
763	5.03068144
764	5.02850032
765	5.026272745
766	5.024326456
767	5.022039731
768	5.019182475
769	5.013810641
770	5.012257905
771	5.010549312
772	5.003422047
773	5.002207955
774	4.999796039
775	4.997420125
776	4.996019769
777	4.991518062
778	4.989694915
779	4.987236878
780	4.985844957
781	4.984966125
782	4.981178925
783	4.980169372
784	4.973129847
785	4.970716928
786	4.966327015
787	4.962345764
788	4.961597423
789	4.954797167
790	4.952218009
791	4.950976723
792	4.949970767
793	4.948616824
794	4.94502439
795	4.942787351
796	4.938318393
797	4.93742849
798	4.934664627
799	4.932488185
800	4.929756055
801	4.92609127
802	4.924425445
803	4.923272847
804	4.920984236
805	4.919871051
806	4.91789619
807	4.914721617
808	4.912937299
809	4.909716979
810	4.908587338
811	4.902008855
812	4.894380929
813	4.893513882
814	4.891119654
815	4.889710154
816	4.885379942
817	4.883194797
818	4.880900026
819	4.879777195
820	4.876567666
821	4.874451458
822	4.87312301
823	4.871429456
824	4.869620674
825	4.867407529
826	4.863954928
827	4.860528863
828	4.854091551
829	4.850804768
830	4.84655885
831	4.844108958
832	4.843195905
833	4.840231741
834	4.837047029
835	4.835037223
836	4.832969955
837	4.830978118
838	4.826415983
839	4.821865386
840	4.817544287
841	4.816238699
842	4.814700446
843	4.81240237
844	4.810818632
845	4.809042986
846	4.807094058
847	4.803784135
848	4.801905918
849	4.797294336
850	4.794712983
851	4.792410831
852	4.790237189
853	4.788333981
854	4.78651307
855	4.781297127
856	4.780617077
857	4.777434351
858	4.776672647
859	4.77330366
860	4.768450376
861	4.765592771
862	4.761053519
863	4.75909939
864	4.755851411
865	4.753592626
866	4.750523734
867	4.747198594
868	4.74611091
869	4.74508718
870	4.742810956
871	4.741937568
872	4.740148895
873	4.739328767
874	4.738100552
875	4.736023419
876	4.734263908
877	4.731716798
878	4.726457848
879	4.722405423
880	4.720970208
881	4.718865896
882	4.717521496
883	4.715802951
884	4.713764935
885	4.712724383
886	4.710072034
887	4.708017672
888	4.701627666
889	4.697341763
890	4.69525262
891	4.694264623
892	4.690956764
893	4.688862491
894	4.685614928
895	4.684115149
896	4.682235779
897	4.678224598
898	4.674790891
899	4.673504042
900	4.671921538
901	4.670460295
902	4.666363863
903	4.663898518
904	4.661088932
905	4.659052642
906	4.657040357
907	4.654993433
908	4.652816909
909	4.650611588
910	4.649607946
911	4.646871228
912	4.643920386
913	4.641356256
914	4.639455802
915	4.636333955
916	4.634387103
917	4.632658821
918	4.631773037
919	4.630847822
920	4.627476901
921	4.624327425
922	4.621337577
923	4.617294438
924	4.615878877
925	4.614737466
926	4.608441775
927	4.606812358
928	4.604930709
929	4.60095788
930	4.599619505
931	4.598397962
932	4.595248048
933	4.5941457
934	4.59272193
935	4.59108519
936	4.588081829
937	4.586413997
938	4.58396443
939	4.58291318
940	4.581332422
941	4.578859712
942	4.577714524
943	4.575978862
944	4.574070971
945	4.572732991
946	4.570913068
947	4.569022235
948	4.568111614
949	4.565642117
950	4.563939487
951	4.561336509
952	4.559393301
953	4.557204255
954	4.55536876
955	4.553461375
956	4.550362676
957	4.548464266
958	4.547305723
959	4.546133984
960	4.540951476
961	4.538037068
962	4.53483123
963	4.532396106
964	4.531363924
965	4.527983592
966	4.527069534
967	4.525281762
968	4.523990765
969	4.521339751
970	4.518752432
971	4.517595063
972	4.515066098
973	4.512049669
974	4.510917969
975	4.509818742
976	4.503589663
977	4.502886854
978	4.501021021
979	4.499061802
980	4.49607156
981	4.494902443
982	4.493863453
983	4.487895118
984	4.486092206
985	4.480291741
986	4.476827909
987	4.473192542
988	4.471457335
989	4.469772676
990	4.466893404
991	4.464488857
992	4.462045468
993	4.460258548
994	4.457817962
995	4.456048641
996	4.454795859
997	4.451193495
998	4.450083913
999	4.44691376
